0,0
0,1
1,2
7,3
14,4
13,5
18,6
7,7
20,8
11,9
25,10
23,11
24,12
21,13
19,14
18,15
31,16
22,17
14,18
29,19
23,20
20,21
21,22
14,23
20,24
21,25
23,26
23,27
20,28
11,29
31,30
20,31
10,32
17,33
26,34
20,35
21,36
20,37
18,38
10,39
18,40
11,41
18,42
17,43
17,44
14,45
16,46
15,47
12,48
15,49
33,50
22,51
25,52
22,53
21,54
21,55
22,56
20,57
19,58
17,59
17,60
18,61
22,62
21,63
24,64
20,65
20,66
21,67
22,68
12,69
21,70
21,71
20,72
19,73
21,74
14,75
15,76
14,77
17,78
18,79
17,80
18,81
18,82
18,83
18,84
17,85
18,86
18,87
18,88
18,89
18,90
18,91
18,92
18,93
18,94
18,95
18,96
18,97
18,98
18,99
17,100
17,101
17,102
18,103
18,104
17,105
19,106
10,107
25,108
22,109
15,110
26,111
18,112
17,113
13,114
16,115
22,116
13,117
13,118
18,119
20,120
20,121
19,122
20,123
20,124
19,125
21,126
21,127
18,128
23,129
19,130
18,131
28,132
15,133
23,134
44,135
20,136
22,137
20,138
21,139
22,140
20,141
20,142
20,143
18,144
17,145
20,146
21,147
21,148
22,149
18,150
20,151
21,152
19,153
18,154
10,155
22,156
19,157
14,158
22,159
23,160
17,161
21,162
16,163
15,164
17,165
27,166
19,167
19,168
18,169
17,170
16,171
17,172
17,173
17,174
17,175
17,176
16,177
17,178
16,179
17,180
17,181
17,182
17,183
17,184
16,185
17,186
17,187
17,188
16,189
17,190
17,191
17,192
17,193
17,194
17,195
17,196
18,197
19,198
19,199
20,200
19,201
18,202
19,203
10,204
8,205
5,206
